Party,URL,Date,Title,Text
PSP,https://www.straitstimes.com/politics/reform-party-to-give-way-to-psp-in-battle-for-west-coast-grc,,,
GEN,https://www.straitstimes.com/politics/3-way-fights-inevitable-with-record-12-opposition-parties-observers,,,
GEN,https://www.straitstimes.com/politics/new-constituency-political-broadcasts-to-air-from-july-3-to-7,,,
PAP,https://www.straitstimes.com/politics/new-pap-candidates-a-diverse-group-dpm,,,
GEN,https://www.straitstimes.com/politics/eld-urges-candidates-to-follow-safe-distance-rules,,,
GEN,https://www.straitstimes.com/politics/nomination-day-to-be-more-subdued-affair-amid-restrictions,,,
PSP,https://www.straitstimes.com/politics/lee-hsien-yang-joins-progress-singapore-party,,,
OPP,https://www.straitstimes.com/politics/political-parties-begin-unveiling-new-faces,,,
WP,https://www.straitstimes.com/politics/wp-releases-video-featuring-12-likely-candidates,,,
PAP,https://www.straitstimes.com/politics/singapore-ge2020-election-will-give-govt-fresh-mandate-to-tackle-future-challenges-says,,,
PV,https://www.straitstimes.com/politics/singapore-ge2020-peoples-voice-party-to-contest-punggol-west-constituency-and-pasir-ris,,,
PSP,https://www.straitstimes.com/politics/spore-ge-updates-june-24-what-are-the-hot-seats-lee-hsien-yang-joins-tan-cheng-bocks,,,
PAP,https://www.straitstimes.com/politics/singapore-ge2020-new-pap-candidates-took-unconventional-routes-to-success-masagos,,,
PAP,https://www.straitstimes.com/politics/pap-unveils-first-slate-of-candidates-for-election-desmond-tan-kok-ming-edward-chia-ivan,,,
PSP,https://www.straitstimes.com/politics/ge2020-lee-hsien-yang-joins-tan-cheng-bocks-progress-singapore-party,,,
PAP,https://www.straitstimes.com/politics/yaacob-ibrahim-bids-farewell-to-politics-after-23-years-as-mp,,,
WP,https://www.straitstimes.com/politics/low-thia-khiang-recovering-and-in-good-spirits-tan-chuan-jin,,,
PSP,https://www.straitstimes.com/politics/psp-set-to-field-24-candidates-in-nine-constituencies,,,
PAP,https://www.straitstimes.com/politics/pap-teams-swing-into-action-ready-for-election,,,
OPP,https://www.straitstimes.com/politics/opposition-sees-new-parties-and-leaders,,,
GEN,https://www.straitstimes.com/politics/how-the-upcoming-election-will-differ-from-past-polls,,,
GEN,https://www.straitstimes.com/singapore/parliament-dissolved-polling-day-set-for-july-10,,,
OPP,https://www.straitstimes.com/politics/singapore-ge2020-with-new-leaders-and-new-parties-a-much-changed-opposition-gets-ready-for,,,
PPP,https://www.straitstimes.com/politics/singapore-ge2020-pap-teams-swing-into-action-ready-for-election,,,
